x_1,x_2,x_3,x_4,x_5,x_6,y
0.3745401188473625,0.7202679239473956,0.004401609003786278,0.6855280150108364,0.026657724933027427,0.2989120412044165,3.719773967238423
0.9507143064099162,0.6872830044131277,0.00033015925947643687,0.46757096225241745,0.007960567965591414,0.09481777516205803,4.05492568188525
0.7319939418114051,0.09575419866335766,0.4722634607952153,0.05570689569342413,0.22437546928024177,0.12635922497221597,0.9318227093187583
0.5986584841970366,0.9225724049058001,0.02929370500537065,0.9185101506885499,0.7993209480093296,0.1806711281809218,5.19968480720396
0.15601864044243652,0.5684722021568196,0.9745325536623746,0.980329132876381,0.9047476581743871,0.20365333436494837,4.141054831822836
0.15599452033620265,0.36372552113568424,0.22206517454139196,0.431043415211835,0.3917683658985981,0.24226180921054408,2.088954007170419
0.05808361216819946,0.7565385834953067,0.4726647293648447,0.6136608074093272,0.5631985966066786,0.2554600289634944,2.2624691487458573
0.8661761457749352,0.25736545840163405,0.06113763001222361,0.4502986262437467,0.7060526019553808,0.4557163454875359,3.388983062087026
0.6011150117432088,0.6935098370463204,0.5220484161712585,0.3218796508861206,0.9529366992517265,0.5095731908260412,3.670558304290042
0.7080725777960455,0.03971120757224722,0.3799561251474085,0.07731879285780763,0.9129322372974317,0.30887920812635594,1.354661314652575
0.020584494295802447,0.839408037609272,0.044660028877223756,0.45606773039729886,0.05719230338137993,0.9072964199207282,1.51884425811773
0.9699098521619943,0.4481708470213185,0.33512426669622475,0.8183845563594515,0.2481658432092808,0.5531397233389546,3.871075156672358
0.8324426408004217,0.6366929143579417,0.3914360202228556,0.017031461088003574,0.04914454395517709,0.7874769280334067,2.094237173114579
0.21233911067827616,0.22123781980668367,0.98992149127494,0.5821076831802223,0.6165424209890513,0.9242378324208433,3.0446460473932935
0.18182496720710062,0.677073712658448,0.20788587191937546,0.8807721087266889,0.710493316472639,0.1631351145758052,3.303619428092273
0.18340450985343382,0.7722402758932766,0.5447796153700997,0.217549430014358,0.30828341235651147,0.4278744837156345,1.4596275983295643
0.3042422429595377,0.47321318688439873,0.9873155491986286,0.1832558646890622,0.8538519081332145,0.4332104017146088,2.919750809033809
0.5247564316322378,0.6177269240617943,0.7920192079401351,0.7722766257019431,0.4528127504114977,0.3544722504383542,3.9338358345199147
0.43194501864211576,0.45632592382239856,0.9933675008820889,0.2550864311192933,0.9983815150970126,0.00890586655163994,3.53922092884819
0.2912291401980419,0.8940913692578455,0.9682983146601692,0.19198426756064846,0.00039969258932492924,0.815972107778095,2.694648996175501
0.6118528947223795,0.49786918051431917,0.4895395420941543,0.37798925056923505,0.10948970841855665,0.1115593215539028,2.5627683666124685
0.13949386065204183,0.8418087090288189,0.6963758498705658,0.39250201227021797,0.3017932429353404,0.9954805979217589,2.3170910281726544
0.29214464853521815,0.8013520582702486,0.1104431269411511,0.874101063016566,0.025507597953713157,0.7729584919111816,3.8967927653182195
0.3663618432936917,0.41050482134835653,0.44114882504680186,0.6184434719336769,0.7823394577382508,0.5800100176065145,3.206635080090008
0.45606998421703593,0.23008449185747504,0.8090185422666974,0.40596145633958935,0.052771787871287223,0.15460641774159745,1.7979596401660853
